Datetime,Branch,Gender,Age,NPS,CSI,Loyalty,CES,Registration,Doctor Consultation,Nurse Service,Pharmacy Service,Laboratory,Emergency Response,Billing Process,Facility Cleanliness,Staff Friendliness,Waiting Time,Improvement_Feedback
07/01/2025 18.47,Always Healthy Hospital Semarang,Male,24,8,4,4,4,3,3,4,4,4,4,5,3,3,3,service good
17/01/2025 17.25,Always Healthy Hospital Padang,Female,47,7,4,4,4,3,3,3,5,4,5,4,4,3,3,service good
31/01/2025 08.37,Always Healthy Hospital Jakarta,Male,56,8,4,3,4,4,4,3,4,4,5,4,4,5,4,service good
28/01/2025 10.45,Always Healthy Hospital Bogor,Female,45,1,4,4,4,4,4,4,4,4,3,4,4,4,3,service good
02/01/2025 02.29,Always Healthy Hospital Batam,Male,25,8,4,4,4,4,4,4,5,4,4,5,3,3,3,service good
04/01/2025 06.14,Always Healthy Hospital Padang,Female,54,8,5,5,4,4,4,4,4,5,4,4,4,5,4,service good
05/01/2025 07.54,Always Healthy Hospital Yogyakarta,Male,33,9,4,3,4,4,4,4,4,4,4,3,4,4,3,service good
10/01/2025 20.04,Always Healthy Hospital Makassar,Female,41,9,4,4,3,4,3,3,4,3,3,4,4,3,3,service good
23/01/2025 12.53,Always Healthy Hospital Manado,Male,46,9,4,5,5,4,4,4,4,5,4,4,4,4,4,service good
05/01/2025 22.26,Always Healthy Hospital Jakarta,Female,34,1,4,4,3,4,3,3,3,4,3,3,3,4,3,service good
06/01/2025 11.12,Always Healthy Hospital Surabaya,Male,59,10,4,3,3,3,4,3,3,3,2,3,4,3,3,improve Emergency Response
07/01/2025 10.12,Always Healthy Hospital Denpasar,Female,48,10,4,5,4,5,5,4,4,4,4,4,4,4,4,service good
19/01/2025 06.02,Always Healthy Hospital Malang,Male,52,8,3,3,3,3,3,4,4,4,3,3,3,3,3,service good
27/01/2025 11.11,Always Healthy Hospital Medan,Female,33,9,4,4,4,4,4,3,4,4,4,4,4,3,3,service good
09/01/2025 04.32,Always Healthy Hospital Balikpapan,Male,40,9,4,5,5,4,4,3,4,4,4,4,5,5,4,service good
15/01/2025 06.33,Always Healthy Hospital Bekasi,Female,41,10,4,4,4,4,4,3,4,4,3,3,5,3,5,service good
21/01/2025 22.20,Always Healthy Hospital Depok,Male,23,0,3,5,3,4,3,3,4,4,4,2,4,3,3,improve Billing Process
22/01/2025 22.18,Always Healthy Hospital Palembang,Female,39,7,5,4,3,3,5,4,4,5,4,4,4,4,4,service good
20/01/2025 08.07,Always Healthy Hospital Yogyakarta,Male,64,9,3,3,3,3,3,2,3,4,3,4,4,4,3,improve Nurse Service
23/01/2025 11.40,Always Healthy Hospital Bogor,Female,55,9,4,4,4,4,4,4,4,3,4,4,3,5,3,service good
04/01/2025 15.35,Always Healthy Hospital Bogor,Male,63,7,3,4,3,4,3,4,4,3,4,3,4,4,4,service good
29/01/2025 14.13,Always Healthy Hospital Jakarta,Female,31,8,4,4,4,4,3,5,3,4,4,4,4,4,3,service good
13/01/2025 16.12,Always Healthy Hospital Tangerang,Male,32,9,4,3,4,5,3,4,4,4,5,3,4,4,4,service good
24/01/2025 20.24,Always Healthy Hospital Depok,Female,47,10,4,4,4,3,4,3,4,4,4,4,4,4,3,service good
12/01/2025 05.52,Always Healthy Hospital Batam,Male,49,10,4,4,3,4,3,4,4,4,5,3,4,3,3,service good
26/01/2025 00.22,Always Healthy Hospital Tangerang,Female,36,6,4,4,4,4,5,4,3,4,3,3,4,4,4,service good
20/01/2025 19.50,Always Healthy Hospital Semarang,Male,55,8,4,5,4,4,3,3,4,4,3,3,4,4,3,service good
02/01/2025 02.42,Always Healthy Hospital Jakarta,Female,42,10,4,4,5,4,4,4,4,4,5,4,4,4,4,service good
20/01/2025 13.16,Always Healthy Hospital Bogor,Male,65,8,3,4,4,4,4,4,3,3,4,3,3,3,3,service good
20/01/2025 13.07,Always Healthy Hospital Medan,Female,50,9,4,4,4,4,4,4,4,5,3,4,3,4,4,service good
08/01/2025 02.44,Always Healthy Hospital Bogor,Male,36,4,4,5,4,5,4,4,4,3,5,4,4,4,4,service good
27/01/2025 05.52,Always Healthy Hospital Jakarta,Female,44,8,4,5,4,4,5,4,4,4,4,3,4,5,4,service good
09/01/2025 18.14,Always Healthy Hospital Makassar,Male,26,1,3,3,3,2,4,3,4,3,3,3,3,3,4,improve Registration
05/01/2025 04.25,Always Healthy Hospital Denpasar,Female,61,9,4,4,4,4,4,5,4,4,4,4,4,4,4,service good
01/01/2025 17.16,Always Healthy Hospital Padang,Male,64,2,4,4,4,5,4,4,4,4,4,4,4,4,4,service good
13/01/2025 20.38,Always Healthy Hospital Banjarmasin,Female,55,0,4,4,4,3,4,4,4,4,4,4,4,4,4,service good
