datetime,branch,gender,age,nps,csi,loyalty,ces,registration,doctor_consultation,nurse_service,pharmacy_service,laboratory,emergency_response,billing_process,facility_cleanliness,staff_friendliness,waiting_time,improvement_feedback
2025-01-07 18:47:00,Always Healthy Hospital Semarang,Male,24,8,4,4,4,3,3,4,4,4,4,5,3,3,3,service good
2025-01-17 17:25:00,Always Healthy Hospital Padang,Female,47,7,4,4,4,3,3,3,5,4,5,4,4,3,3,service good
2025-01-31 08:37:00,Always Healthy Hospital Jakarta,Male,56,8,4,3,4,4,4,3,4,4,5,4,4,5,4,service good
2025-01-28 10:45:00,Always Healthy Hospital Bogor,Female,45,1,4,4,4,4,4,4,4,4,3,4,4,4,3,service good
2025-01-02 02:29:00,Always Healthy Hospital Batam,Male,25,8,4,4,4,4,4,4,5,4,4,5,3,3,3,service good
2025-01-04 06:14:00,Always Healthy Hospital Padang,Female,54,8,5,5,4,4,4,4,4,5,4,4,4,5,4,service good
2025-01-05 07:54:00,Always Healthy Hospital Yogyakarta,Male,33,9,4,3,4,4,4,4,4,4,4,3,4,4,3,service good
2025-01-10 20:04:00,Always Healthy Hospital Makassar,Female,41,9,4,4,3,4,3,3,4,3,3,4,4,3,3,service good
2025-01-23 12:53:00,Always Healthy Hospital Manado,Male,46,9,4,5,5,4,4,4,4,5,4,4,4,4,4,service good
2025-01-05 22:26:00,Always Healthy Hospital Jakarta,Female,34,1,4,4,3,4,3,3,3,4,3,3,3,4,3,service good
2025-01-06 11:12:00,Always Healthy Hospital Surabaya,Male,59,10,4,3,3,3,4,3,3,3,2,3,4,3,3,improve Emergency Response
2025-01-07 10:12:00,Always Healthy Hospital Denpasar,Female,48,10,4,5,4,5,5,4,4,4,4,4,4,4,4,service good
2025-01-19 06:02:00,Always Healthy Hospital Malang,Male,52,8,3,3,3,3,3,4,4,4,3,3,3,3,3,service good
2025-01-27 11:11:00,Always Healthy Hospital Medan,Female,33,9,4,4,4,4,4,3,4,4,4,4,4,3,3,service good
2025-01-09 04:32:00,Always Healthy Hospital Balikpapan,Male,40,9,4,5,5,4,4,3,4,4,4,4,5,5,4,service good
2025-01-15 06:33:00,Always Healthy Hospital Bekasi,Female,41,10,4,4,4,4,4,3,4,4,3,3,5,3,5,service good
2025-01-21 22:20:00,Always Healthy Hospital Depok,Male,23,0,3,5,3,4,3,3,4,4,4,2,4,3,3,improve Billing Process
2025-01-22 22:18:00,Always Healthy Hospital Palembang,Female,39,7,5,4,3,3,5,4,4,5,4,4,4,4,4,service good
2025-01-20 08:07:00,Always Healthy Hospital Yogyakarta,Male,64,9,3,3,3,3,3,2,3,4,3,4,4,4,3,improve Nurse Service
2025-01-23 11:40:00,Always Healthy Hospital Bogor,Female,55,9,4,4,4,4,4,4,4,3,4,4,3,5,3,service good
2025-01-04 15:35:00,Always Healthy Hospital Bogor,Male,63,7,3,4,3,4,3,4,4,3,4,3,4,4,4,service good
2025-01-29 14:13:00,Always Healthy Hospital Jakarta,Female,31,8,4,4,4,4,3,5,3,4,4,4,4,4,3,service good
2025-01-13 16:12:00,Always Healthy Hospital Tangerang,Male,32,9,4,3,4,5,3,4,4,4,5,3,4,4,4,service good
2025-01-24 20:24:00,Always Healthy Hospital Depok,Female,47,10,4,4,4,3,4,3,4,4,4,4,4,4,3,service good
2025-01-12 05:52:00,Always Healthy Hospital Batam,Male,49,10,4,4,3,4,3,4,4,4,5,3,4,3,3,service good
2025-01-26 00:22:00,Always Healthy Hospital Tangerang,Female,36,6,4,4,4,4,5,4,3,4,3,3,4,4,4,service good
2025-01-20 19:50:00,Always Healthy Hospital Semarang,Male,55,8,4,5,4,4,3,3,4,4,3,3,4,4,3,service good
